iter	Logloss
0	0.6716839717
1	0.6521432583
2	0.6290897956
3	0.6060405878
4	0.584777832
5	0.5663716243
6	0.551585014
7	0.5272482725
8	0.5136861068
9	0.4954026296
10	0.4801530104
11	0.4607488192
12	0.4454752115
13	0.4357324747
14	0.4227165809
15	0.408852944
16	0.3916514837
17	0.3802435948
18	0.3696297866
19	0.360589761
20	0.3488893509
21	0.3399336888
22	0.3271548565
23	0.3158790148
24	0.3070931618
25	0.2968411996
26	0.290329493
27	0.283206848
28	0.2740368843
29	0.2669952833
30	0.2609277872
31	0.2528381714
32	0.2451044963
33	0.2367404974
34	0.2271152643
35	0.2208538055
36	0.2146708782
37	0.2095004228
38	0.2041934454
39	0.1991294714
40	0.1943733325
41	0.1878442764
42	0.1832217437
43	0.1788793527
44	0.1746308437
45	0.1710204345
46	0.1645206855
47	0.1590128495
48	0.1522790102
49	0.1473155113
50	0.1446714401
51	0.1409529906
52	0.1353082749
53	0.1312634303
54	0.1283081128
55	0.1226539337
56	0.119267803
57	0.1153628643
58	0.1133659711
59	0.1107484194
60	0.1081548287
61	0.1059017365
62	0.1032171341
63	0.1002263931
64	0.09783911705
65	0.0955979549
66	0.09415769577
67	0.0932789124
68	0.09136157769
69	0.09008244368
70	0.08866230341
71	0.08547568321
72	0.0828482096
73	0.08141733133
74	0.07859576665
75	0.07637657569
76	0.07463387343
77	0.07291945127
78	0.07139144494
79	0.06986740919
80	0.06836927854
81	0.06722605687
82	0.06573364368
83	0.06441304317
84	0.06307910039
85	0.06203475365
86	0.06135269312
87	0.06051252897
88	0.05962325976
89	0.05747413177
90	0.05657738906
91	0.05531870402
92	0.05414499686
93	0.05336848589
94	0.05274938162
95	0.05181863216
96	0.05110388536
97	0.04925300983
98	0.04872805797
99	0.04792181345
100	0.04720227076
101	0.04681242429
102	0.0458300022
103	0.04465999053
104	0.04388777109
105	0.04293860839
106	0.04228504346
107	0.04176947704
108	0.04108645824
109	0.04038059253
110	0.0395037486
111	0.03870801742
